Symbol	GeneID	log2FoldChange	padj	pvalue	EnsemblGeneID
EIF3J	8669	-1.0982226	1.63e-08	6.93e-09	ENSG00000104131
RGS16	6004	-3.4894908	1.67e-08	7.12e-09	ENSG00000143333
FBXO36	130888	1.1763041	1.68e-08	7.18e-09	ENSG00000153832
SH3GLB2	56904	1.2876898	1.69e-08	7.21e-09	ENSG00000148341
CRABP2	1382	1.5744842	1.71e-08	7.28e-09	ENSG00000143320
PTGFR	5737	-1.57704	1.71e-08	7.29e-09	ENSG00000122420
ARHGAP21	57584	1.1372767	1.71e-08	7.32e-09	ENSG00000107863
CENPU	79682	-2.9162792	1.73e-08	7.39e-09	ENSG00000151725
ZNF45	7596	-1.3305073	1.75e-08	7.46e-09	ENSG00000124459
CORO7-PAM16	100529144	1.1817094	1.75e-08	7.47e-09	ENSG00000103426
GPD2	2820	1.0558918	1.78e-08	7.63e-09	ENSG00000115159
SSPN	8082	1.3361314	1.79e-08	7.64e-09	ENSG00000123096
TMEM30B	161291	-3.1500455	1.85e-08	7.92e-09	ENSG00000182107
YBX3	8531	1.009311	1.86e-08	7.98e-09	ENSG00000060138
CFAP299	255119	1.3266935	1.89e-08	8.11e-09	ENSG00000197826
DKC1	1736	1.0659988	1.91e-08	8.19e-09	ENSG00000130826
PAOX	196743	1.3240433	1.93e-08	8.3e-09	ENSG00000148832
F8A2	474383	-2.4838205	1.96e-08	8.43e-09	ENSG00000288709
SNAI1	6615	-1.3815139	1.99e-08	8.54e-09	ENSG00000124216
NEK10	152110	-2.2280354	2e-08	8.59e-09	ENSG00000163491
PATZ1	23598	-1.5230595	2.05e-08	8.82e-09	ENSG00000100105
TNFRSF19	55504	-2.0317042	2.07e-08	8.91e-09	ENSG00000127863
CABLES2	81928	1.0880513	2.09e-08	9e-09	ENSG00000149679
ZNF83	55769	1.0054872	2.1e-08	9.04e-09	ENSG00000167766
RAB15	376267	1.0808178	2.11e-08	9.08e-09	ENSG00000139998
CENPA	1058	-3.032243	2.14e-08	9.2e-09	ENSG00000115163
NAXD	55739	1.2833844	2.17e-08	9.34e-09	ENSG00000213995
PARPBP	55010	-2.5610681	2.18e-08	9.37e-09	ENSG00000185480
DENND1B	163486	-1.891551	2.18e-08	9.41e-09	ENSG00000213047
PHETA1	144717	-1.2434682	2.2e-08	9.48e-09	ENSG00000198324
PUS7L	83448	-1.4359552	2.25e-08	9.7e-09	ENSG00000129317
SLC38A1	81539	-1.5196359	2.31e-08	9.98e-09	ENSG00000111371
POP5	51367	1.2008133	2.31e-08	9.98e-09	ENSG00000167272
MMD	23531	1.5787443	2.32e-08	1e-08	ENSG00000108960
NDFIP2	54602	-1.1585618	2.33e-08	1e-08	ENSG00000102471
RPS7	6201	-1.7053428	2.33e-08	1.01e-08	ENSG00000171863
UBR4	23352	-1.2057558	2.34e-08	1.01e-08	ENSG00000127481
BCLAF3	256643	-2.1180104	2.34e-08	1.01e-08	ENSG00000173681
CD59	966	-2.2120919	2.35e-08	1.01e-08	ENSG00000085063
PHLDB3	653583	-1.6482037	2.38e-08	1.03e-08	ENSG00000176531
ARRDC4	91947	-1.2903507	2.42e-08	1.05e-08	ENSG00000140450
CAPN5	726	1.1049003	2.45e-08	1.06e-08	ENSG00000149260
SLC27A1	376497	1.0120089	2.48e-08	1.07e-08	ENSG00000130304
IDNK	414328	-1.0422862	2.49e-08	1.07e-08	ENSG00000148057
EXOC6	54536	-2.0070833	2.49e-08	1.08e-08	ENSG00000138190
PGF	5228	-2.4601693	2.51e-08	1.09e-08	ENSG00000119630
ZNF93	81931	-1.2536122	2.56e-08	1.11e-08	ENSG00000184635
RTL1	388015	1.3149693	2.68e-08	1.16e-08	ENSG00000254656
TMEM267	64417	-1.050865	2.9e-08	1.26e-08	ENSG00000151881
SLC25A22	79751	1.0384427	2.9e-08	1.26e-08	ENSG00000177542
ZNF670	93474	-1.6512856	2.92e-08	1.27e-08	ENSG00000277462
INKA2	55924	-2.4846261	2.93e-08	1.28e-08	ENSG00000197852
FAM117A	81558	1.2467852	2.94e-08	1.28e-08	ENSG00000121104
NPIPB5	100132247	1.0431947	2.94e-08	1.28e-08	ENSG00000243716
RHPN2	85415	-1.489517	2.99e-08	1.3e-08	ENSG00000131941
FKBP2	2286	-1.1199359	3.03e-08	1.32e-08	ENSG00000173486
LOC114841035	114841035	-1.1199359	3.03e-08	1.32e-08	ENSG00000286264
FST	10468	-1.581315	3.03e-08	1.32e-08	ENSG00000134363
LURAP1	541468	1.4976393	3.1e-08	1.35e-08	ENSG00000171357
LSM6	11157	1.0912723	3.12e-08	1.36e-08	ENSG00000164167
GMPR	2766	-1.839593	3.12e-08	1.36e-08	ENSG00000137198
ACTG1	71	1.0846519	3.24e-08	1.41e-08	ENSG00000184009
RFX8	731220	-1.9592661	3.24e-08	1.41e-08	ENSG00000196460
KIF13A	63971	-1.6266494	3.28e-08	1.43e-08	ENSG00000137177
SELENOI	85465	-1.0130321	3.28e-08	1.43e-08	ENSG00000138018
PROCA1	147011	1.6932064	3.36e-08	1.47e-08	ENSG00000167525
H3C11	8354	1.2522175	3.57e-08	1.56e-08	ENSG00000275379
TAPT1	202018	-1.1038612	3.61e-08	1.58e-08	ENSG00000169762
PITPNM2	57605	1.1111186	3.64e-08	1.59e-08	ENSG00000090975
COBLL1	22837	-2.3548802	3.65e-08	1.6e-08	ENSG00000082438
FANCC	2176	1.0313686	3.75e-08	1.64e-08	ENSG00000158169
RAPGEF3	10411	1.6291059	3.77e-08	1.65e-08	ENSG00000079337
RRN3	54700	-1.0272286	3.77e-08	1.65e-08	ENSG00000085721
UBALD2	283991	1.1030159	3.83e-08	1.68e-08	ENSG00000185262
MAP3K5	4217	1.4114703	4.01e-08	1.76e-08	ENSG00000197442
THBS2	7058	-1.5728473	4.03e-08	1.77e-08	ENSG00000186340
WWC2	80014	1.037754	4.05e-08	1.78e-08	ENSG00000151718
KLF5	688	1.3375484	4.18e-08	1.84e-08	ENSG00000102554
TMEM204	79652	1.5437673	4.34e-08	1.91e-08	ENSG00000131634
GDF15	9518	-1.587723	4.34e-08	1.91e-08	ENSG00000130513
DUSP3	1845	1.3076997	4.34e-08	1.91e-08	ENSG00000108861
GLI3	2737	1.2874414	4.36e-08	1.92e-08	ENSG00000106571
PLCL1	5334	-2.0918103	4.42e-08	1.95e-08	ENSG00000115896
TOP2B	7155	-1.1282626	4.77e-08	2.11e-08	ENSG00000077097
AGTPBP1	23287	1.0479921	4.78e-08	2.11e-08	ENSG00000135049
STRIP2	57464	-2.2776034	4.86e-08	2.15e-08	ENSG00000128578
MKNK2	2872	1.2441395	4.87e-08	2.15e-08	ENSG00000099875
BCL2L12	83596	1.3721602	5.11e-08	2.26e-08	ENSG00000126453
ELP4	26610	-1.1415173	5.29e-08	2.34e-08	ENSG00000109911
SPSB3	90864	1.5022673	5.34e-08	2.36e-08	ENSG00000162032
WNT9A	7483	1.5933851	5.38e-08	2.38e-08	ENSG00000143816
STARD8	9754	1.8391258	5.56e-08	2.46e-08	ENSG00000130052
GARRE1	9710	1.3365472	5.66e-08	2.51e-08	ENSG00000166398
OR1J1	347168	1.7292253	5.67e-08	2.52e-08	ENSG00000136834
HOMER3	9454	1.367914	5.77e-08	2.56e-08	ENSG00000051128
KIF18A	81930	1.8537405	5.83e-08	2.59e-08	ENSG00000121621
PEX12	5193	1.0001032	5.84e-08	2.59e-08	ENSG00000108733
RAB38	23682	3.1325743	6.05e-08	2.69e-08	ENSG00000123892
MBIP	51562	-1.000877	6.12e-08	2.72e-08	ENSG00000151332
CXCL8	3576	-3.6446605	6.12e-08	2.72e-08	ENSG00000169429
TOP3B	8940	1.3562755	6.16e-08	2.74e-08	ENSG00000100038
TIAM2	26230	1.3144199	6.22e-08	2.77e-08	ENSG00000146426
MKX	283078	-2.2476954	6.24e-08	2.78e-08	ENSG00000150051
PCDHB16	57717	-1.8828889	6.27e-08	2.79e-08	ENSG00000272674
THSD1	55901	1.3065437	6.43e-08	2.87e-08	ENSG00000136114
TRIM6-TRIM34	445372	-1.8705616	6.47e-08	2.89e-08	ENSG00000258588
SMIM29	221491	1.2105076	6.61e-08	2.95e-08	ENSG00000186577
HACD1	9200	1.1349488	6.74e-08	3.01e-08	ENSG00000165996
PRDX6	9588	1.0150896	6.89e-08	3.08e-08	ENSG00000117592
FAM117B	150864	-1.2477581	6.97e-08	3.11e-08	ENSG00000138439
DNAJC17	55192	-1.026276	6.97e-08	3.12e-08	ENSG00000104129
BICD1	636	-1.9827049	7.14e-08	3.19e-08	ENSG00000151746
SSC5D	284297	-1.9900808	7.21e-08	3.22e-08	ENSG00000179954
CEP55	55165	-2.8489959	7.33e-08	3.28e-08	ENSG00000138180
DTNA	1837	1.8525034	7.35e-08	3.29e-08	ENSG00000134769
WDR18	57418	1.0231241	7.37e-08	3.3e-08	ENSG00000065268
RANGRF	29098	-1.3694582	7.73e-08	3.46e-08	ENSG00000108961
IQSEC2	23096	1.0425115	8.03e-08	3.6e-08	ENSG00000124313
RRAS2	22800	1.1969238	8.24e-08	3.7e-08	ENSG00000133818
CAPN2	824	-1.0696376	8.41e-08	3.77e-08	ENSG00000162909
YIPF3	25844	1.1985184	8.61e-08	3.87e-08	ENSG00000137207
TRPM7	54822	-1.1556153	8.61e-08	3.87e-08	ENSG00000092439
PLPP3	8613	1.2811181	8.62e-08	3.87e-08	ENSG00000162407
CDH11	1009	1.0995607	8.69e-08	3.9e-08	ENSG00000140937
XYLT1	64131	1.0554217	8.77e-08	3.94e-08	ENSG00000103489
DYRK2	8445	-1.6980808	8.79e-08	3.96e-08	ENSG00000127334
SERTAD1	29950	-1.0535267	8.88e-08	4e-08	ENSG00000197019
EPHA1	2041	-2.069255	8.93e-08	4.02e-08	ENSG00000146904
TYRO3	7301	-1.1005813	9.01e-08	4.06e-08	ENSG00000092445
LMNB1	4001	-2.1955971	9.27e-08	4.18e-08	ENSG00000113368
ZNF285	26974	-1.5450883	9.41e-08	4.24e-08	ENSG00000267508
CYLD	1540	1.0245763	9.42e-08	4.25e-08	ENSG00000083799
IFIT2	3433	-1.9080396	9.72e-08	4.39e-08	ENSG00000119922
BICC1	80114	1.1360695	9.86e-08	4.45e-08	ENSG00000122870
ZSCAN9	7746	1.1175941	9.91e-08	4.48e-08	ENSG00000137185
PRUNE2	158471	-2.4419389	1.01e-07	4.54e-08	ENSG00000106772
FAM50A	9130	-1.0240923	1.01e-07	4.57e-08	ENSG00000071859
APOL3	80833	1.5304091	1.02e-07	4.61e-08	ENSG00000128284
STX1A	6804	1.5940478	1.03e-07	4.67e-08	ENSG00000106089
FLAD1	80308	-1.7289672	1.05e-07	4.74e-08	ENSG00000160688
SMC3	9126	-1.1599411	1.08e-07	4.9e-08	ENSG00000108055
ANKDD1A	348094	-1.4308624	1.09e-07	4.94e-08	ENSG00000166839
SYTL3	94120	-1.6806985	1.09e-07	4.95e-08	ENSG00000164674
PAXX	286257	1.2707981	1.1e-07	5e-08	ENSG00000148362
FOXM1	2305	-1.855899	1.1e-07	5.01e-08	ENSG00000111206
GATA6	2627	-2.2062281	1.14e-07	5.19e-08	ENSG00000141448
ZNF736	728927	-1.1843112	1.14e-07	5.2e-08	ENSG00000234444
CNTN3	5067	1.1278256	1.15e-07	5.24e-08	ENSG00000113805
CASP3	836	1.5347575	1.16e-07	5.25e-08	ENSG00000164305
KIF5A	3798	2.2325472	1.17e-07	5.31e-08	ENSG00000155980
CCDC74B	91409	1.5004229	1.17e-07	5.33e-08	ENSG00000152076
FAM131B	9715	1.7334711	1.17e-07	5.34e-08	ENSG00000159784
LOC102723564	102723564	-2.0230106	1.18e-07	5.35e-08	NA
HHIPL2	79802	1.8749447	1.18e-07	5.38e-08	ENSG00000143512
IZUMO4	113177	1.1886053	1.19e-07	5.42e-08	ENSG00000099840
KLF3	51274	-1.3069017	1.2e-07	5.44e-08	ENSG00000109787
LRP2BP	55805	1.4618049	1.21e-07	5.5e-08	ENSG00000109771
EPHX2	2053	-2.3943593	1.22e-07	5.54e-08	ENSG00000120915
PEPD	5184	1.071739	1.22e-07	5.57e-08	ENSG00000124299
BTF3L4	91408	-1.1004421	1.23e-07	5.58e-08	ENSG00000134717
PITRM1	10531	-1.2460021	1.23e-07	5.61e-08	ENSG00000107959
RABL6	55684	1.1397722	1.23e-07	5.62e-08	ENSG00000196642
EDA2R	60401	1.5559919	1.23e-07	5.63e-08	ENSG00000131080
OAF	220323	1.2492072	1.24e-07	5.67e-08	ENSG00000184232
KATNAL1	84056	-1.1032231	1.24e-07	5.67e-08	ENSG00000102781
CSPG4	1464	1.5102013	1.26e-07	5.73e-08	ENSG00000173546
RING1	6015	1.0009958	1.29e-07	5.88e-08	ENSG00000204227
ANKRD9	122416	1.3250196	1.29e-07	5.91e-08	ENSG00000156381
PTPRJ	5795	1.1419491	1.3e-07	5.95e-08	ENSG00000149177
GEN1	348654	1.1393315	1.31e-07	5.98e-08	ENSG00000178295
NYNRIN	57523	-1.3231011	1.32e-07	6.02e-08	ENSG00000205978
CCDC14	64770	1.053994	1.33e-07	6.09e-08	ENSG00000175455
GOLGA8B	440270	-1.0159982	1.35e-07	6.19e-08	ENSG00000215252
BIVM-ERCC5	100533467	-1.0016493	1.36e-07	6.23e-08	ENSG00000270181
TMEM38A	79041	1.4748257	1.36e-07	6.23e-08	ENSG00000072954
FKBP5	2289	-1.8217055	1.38e-07	6.31e-08	ENSG00000096060
SLC35F2	54733	2.0445144	1.39e-07	6.36e-08	ENSG00000110660
NPIPA1	9284	1.1958187	1.39e-07	6.36e-08	ENSG00000183426
LRRC27	80313	-1.8412114	1.39e-07	6.39e-08	ENSG00000148814
GAL3ST4	79690	1.1820635	1.4e-07	6.4e-08	ENSG00000197093
SERPINB2	5055	-3.4888563	1.42e-07	6.5e-08	ENSG00000197632
S1PR1	1901	1.9514777	1.46e-07	6.72e-08	ENSG00000170989
CNKSR3	154043	1.4054037	1.47e-07	6.75e-08	ENSG00000153721
ASF1B	55723	2.2457425	1.5e-07	6.9e-08	ENSG00000105011
REV3L	5980	-1.453769	1.52e-07	7e-08	ENSG00000009413
HOXC5	3222	1.7989194	1.56e-07	7.17e-08	ENSG00000172789
SOX9	6662	-1.8715108	1.57e-07	7.2e-08	ENSG00000125398
SEC16B	89866	1.1150635	1.58e-07	7.29e-08	ENSG00000120341
CALHM2	51063	-1.0176199	1.59e-07	7.31e-08	ENSG00000138172
UBE2G2	7327	1.1882443	1.6e-07	7.35e-08	ENSG00000184787
MXRA5	25878	1.5096955	1.62e-07	7.46e-08	ENSG00000101825
GLIPR2	152007	1.0953765	1.65e-07	7.61e-08	ENSG00000122694
ZNF627	199692	-1.6003948	1.67e-07	7.68e-08	ENSG00000198551
RAB29	8934	1.1266833	1.67e-07	7.7e-08	ENSG00000117280
RCHY1	25898	-1.0227583	1.71e-07	7.87e-08	ENSG00000163743
SH3BP4	23677	1.3223245	1.75e-07	8.08e-08	ENSG00000130147
PLEKHA8	84725	1.1095073	1.75e-07	8.08e-08	ENSG00000106086
PRSS23	11098	-1.460855	1.76e-07	8.13e-08	ENSG00000150687
TTC32	130502	-1.9036825	1.76e-07	8.13e-08	ENSG00000183891
THNSL1	79896	-2.4386219	1.77e-07	8.17e-08	ENSG00000185875
AP1M1	8907	1.2359536	1.78e-07	8.21e-08	ENSG00000072958
KLHDC1	122773	-2.1239893	1.86e-07	8.61e-08	ENSG00000197776
HPS3	84343	1.0565041	1.93e-07	8.95e-08	ENSG00000163755
ZNF717	100131827	-1.3658122	1.94e-07	8.99e-08	ENSG00000227124
HPCAL1	3241	1.3928352	1.95e-07	9.02e-08	ENSG00000115756
DNM3	26052	1.5094477	1.99e-07	9.2e-08	ENSG00000197959
RNF122	79845	-1.1766533	1.99e-07	9.21e-08	ENSG00000133874
GINS2	51659	1.7270518	2.01e-07	9.29e-08	ENSG00000131153
CYP2U1	113612	-1.0262697	2.07e-07	9.61e-08	ENSG00000155016
PINLYP	390940	1.829653	2.09e-07	9.72e-08	ENSG00000234465
ITGA10	8515	2.2827625	2.1e-07	9.74e-08	ENSG00000143127
ZNF224	7767	1.2322152	2.18e-07	1.02e-07	ENSG00000267680
TARBP2	6895	1.4183716	2.24e-07	1.05e-07	ENSG00000139546
LRIF1	55791	-1.2802951	2.25e-07	1.05e-07	ENSG00000121931
LMBRD1	55788	-1.1767595	2.3e-07	1.07e-07	ENSG00000168216
CEP295	85459	-1.2734734	2.32e-07	1.08e-07	ENSG00000166004
ARHGDIA	396	1.3707451	2.34e-07	1.09e-07	ENSG00000141522
CDC42EP4	23580	1.1365912	2.39e-07	1.11e-07	ENSG00000179604
PROSER3	148137	-1.4699099	2.39e-07	1.12e-07	ENSG00000167595
SULT1A3	6818	1.1987484	2.39e-07	1.12e-07	ENSG00000261052
HOXA5	3202	1.4912612	2.4e-07	1.12e-07	ENSG00000106004
TMEM132A	54972	1.2777126	2.44e-07	1.14e-07	ENSG00000006118
OGFRL1	79627	-1.4080591	2.44e-07	1.14e-07	ENSG00000119900
MED30	90390	-1.020528	2.5e-07	1.17e-07	ENSG00000164758
OLR1	4973	-2.8307692	2.51e-07	1.17e-07	ENSG00000173391
ASCC3	10973	1.1085993	2.56e-07	1.2e-07	ENSG00000112249
SEMA3F	6405	-1.3332734	2.58e-07	1.21e-07	ENSG00000001617
STXBP6	29091	-2.0254748	2.62e-07	1.23e-07	ENSG00000168952
TMEM41B	440026	-1.1856094	2.68e-07	1.26e-07	ENSG00000166471
CHCHD10	400916	-1.1192806	2.69e-07	1.26e-07	ENSG00000250479
REEP6	92840	-1.7129866	2.72e-07	1.27e-07	ENSG00000115255
TMX3	54495	-1.0119945	2.78e-07	1.3e-07	ENSG00000166479
MYO1E	4643	-1.0740002	2.86e-07	1.34e-07	ENSG00000157483
IGSF3	3321	2.9527204	2.88e-07	1.35e-07	ENSG00000143061
FGFRL1	53834	1.4052279	2.9e-07	1.36e-07	ENSG00000127418
REXO1	57455	-1.0535061	2.94e-07	1.38e-07	ENSG00000079313
IQCG	84223	-1.0793948	3.02e-07	1.42e-07	ENSG00000114473
REEP4	80346	-1.4036675	3.02e-07	1.42e-07	ENSG00000168476
PLPP7	84814	1.86976	3.05e-07	1.43e-07	ENSG00000160539
SFXN2	118980	-1.43543	3.06e-07	1.44e-07	ENSG00000156398
C1QTNF3	114899	1.0469985	3.1e-07	1.46e-07	ENSG00000082196
ZNF215	7762	1.2123287	3.1e-07	1.46e-07	ENSG00000149054
BMPR1B	658	-2.6176415	3.12e-07	1.47e-07	ENSG00000138696
CEP19	84984	-1.7053607	3.17e-07	1.49e-07	ENSG00000174007
ENOSF1	55556	1.0905673	3.17e-07	1.49e-07	ENSG00000132199
PKP4	8502	1.2430469	3.19e-07	1.5e-07	ENSG00000144283
ZSWIM6	57688	1.2408368	3.2e-07	1.51e-07	ENSG00000130449
PLAU	5328	1.3006272	3.22e-07	1.52e-07	ENSG00000122861
USP5	8078	-1.1220599	3.25e-07	1.53e-07	ENSG00000111667
IGFBP5	3488	-2.2073954	3.27e-07	1.54e-07	ENSG00000115461
CUL5	8065	-1.3739226	3.31e-07	1.56e-07	ENSG00000166266
CNOT8	9337	-1.1981731	3.33e-07	1.57e-07	ENSG00000155508
ME3	10873	1.3299891	3.34e-07	1.58e-07	ENSG00000151376
FBLN1	2192	-1.9753473	3.35e-07	1.58e-07	ENSG00000077942
CLDN22	53842	1.2744256	3.37e-07	1.59e-07	ENSG00000177300
MMS22L	253714	-1.7581936	3.46e-07	1.64e-07	ENSG00000146263
ATXN7L1	222255	-1.3761602	3.46e-07	1.64e-07	ENSG00000146776
TIMM10B	26515	1.0515468	3.47e-07	1.64e-07	ENSG00000132286
THEMIS2	9473	-1.805441	3.54e-07	1.68e-07	ENSG00000130775
NOL3	8996	-1.7581793	3.58e-07	1.7e-07	ENSG00000140939
HELLS	3070	-2.6238174	3.61e-07	1.71e-07	ENSG00000119969
DYNC2H1	79659	1.0524389	3.63e-07	1.72e-07	ENSG00000187240
ZNF410	57862	1.0803421	3.65e-07	1.73e-07	ENSG00000119725
NEK7	140609	-1.0672491	3.75e-07	1.78e-07	ENSG00000151414
SEPTIN5	5413	1.181889	3.8e-07	1.81e-07	ENSG00000184702
ELMOD3	84173	1.0260239	4.01e-07	1.91e-07	ENSG00000115459
DNM1	1759	1.6868774	4.08e-07	1.94e-07	ENSG00000106976
CDCA4	55038	-1.3943281	4.1e-07	1.95e-07	ENSG00000170779
FBXO17	115290	1.0510332	4.14e-07	1.97e-07	ENSG00000269190
OXSR1	9943	-1.2355562	4.18e-07	1.99e-07	ENSG00000172939
NAA80	24142	1.0261536	4.23e-07	2.01e-07	ENSG00000243477
ENPEP	2028	-2.7492734	4.23e-07	2.02e-07	ENSG00000138792
SETD9	133383	-1.2156611	4.31e-07	2.06e-07	ENSG00000155542
FANK1	92565	-1.1672947	4.33e-07	2.07e-07	ENSG00000203780
ROM1	6094	1.4301795	4.4e-07	2.1e-07	ENSG00000149489
DUSP5	1847	-1.367746	4.49e-07	2.15e-07	ENSG00000138166
NMT2	9397	-1.0015735	4.53e-07	2.16e-07	ENSG00000152465
PNP	4860	1.3514753	4.53e-07	2.16e-07	ENSG00000198805
NPIPA7	101059938	1.1063158	4.63e-07	2.22e-07	ENSG00000214967
ACTR3	10096	-1.1545084	4.83e-07	2.31e-07	ENSG00000115091
MSX1	4487	-1.4477704	4.85e-07	2.32e-07	ENSG00000163132
FERMT3	83706	-1.4226721	4.88e-07	2.34e-07	ENSG00000149781
PGM3	5238	1.1885719	4.97e-07	2.38e-07	ENSG00000013375
CD72	971	1.1965946	5.02e-07	2.41e-07	ENSG00000137101
LOC102724428	102724428	-1.7977254	5.3e-07	2.54e-07	ENSG00000275993
COL7A1	1294	-1.6010412	5.42e-07	2.6e-07	ENSG00000114270
GNG11	2791	-1.1065095	5.42e-07	2.6e-07	ENSG00000127920
GLCE	26035	-1.036679	5.46e-07	2.62e-07	ENSG00000138604
MAMLD1	10046	-1.450656	5.47e-07	2.63e-07	ENSG00000013619
SNIP1	79753	1.0964206	5.5e-07	2.64e-07	ENSG00000163877
AKT1S1	84335	1.0887774	5.58e-07	2.69e-07	ENSG00000204673
NOTCH1	4851	1.1611338	5.59e-07	2.69e-07	ENSG00000148400
NUDT6	11162	1.1179717	5.6e-07	2.7e-07	ENSG00000170917
BLOC1S3	388552	1.0392584	5.66e-07	2.73e-07	ENSG00000189114
C1QTNF12	388581	1.3076466	5.82e-07	2.81e-07	ENSG00000184163
FLVCR1	28982	1.0265256	5.83e-07	2.81e-07	ENSG00000162769
SEPSECS	51091	-1.0647297	5.9e-07	2.84e-07	ENSG00000109618
DNAI4	79819	-1.0182121	5.93e-07	2.86e-07	ENSG00000152763
NPL	80896	-1.7140902	6.04e-07	2.92e-07	ENSG00000135838
ERN1	2081	-1.0401096	6.06e-07	2.92e-07	ENSG00000178607
BCAS4	55653	1.0960295	6.36e-07	3.07e-07	ENSG00000124243
NKAPL	222698	-1.9934594	6.42e-07	3.11e-07	ENSG00000189134
ZDHHC21	340481	-1.3658234	6.42e-07	3.11e-07	ENSG00000175893
MYLIP	29116	-1.7644655	6.49e-07	3.14e-07	ENSG00000007944
DACT3	147906	1.3999051	6.56e-07	3.18e-07	ENSG00000197380
ATP5MGL	267020	-1.4401646	6.68e-07	3.24e-07	ENSG00000249222
KCNG1	3755	-1.3256686	6.86e-07	3.32e-07	ENSG00000026559
TOB2	10766	1.0175495	6.86e-07	3.33e-07	ENSG00000183864
SAMD15	161394	1.1518133	7.03e-07	3.41e-07	ENSG00000100583
SLC6A8	6535	1.0241665	7.13e-07	3.46e-07	ENSG00000130821
GAS1	2619	-1.2751665	7.18e-07	3.49e-07	ENSG00000180447
FDPS	2224	1.0109191	7.43e-07	3.62e-07	ENSG00000160752
LYPD6B	130576	-2.2026979	7.72e-07	3.76e-07	ENSG00000150556
MASP1	5648	1.4088103	7.74e-07	3.77e-07	ENSG00000127241
KIF1C	10749	1.044515	7.75e-07	3.78e-07	ENSG00000129250
ENO3	2027	1.0910748	7.76e-07	3.78e-07	ENSG00000108515
VMAC	400673	1.3297487	7.98e-07	3.89e-07	ENSG00000187650
HCLS1	3059	2.2174304	8.03e-07	3.91e-07	ENSG00000180353
MAP1LC3A	84557	1.2558176	8.06e-07	3.93e-07	ENSG00000101460
SULT1A4	445329	1.1580463	8.24e-07	4.02e-07	ENSG00000213648
ZNF20	7568	1.2992966	8.31e-07	4.06e-07	ENSG00000132010
FBF1	85302	1.1327875	8.37e-07	4.09e-07	ENSG00000188878
PKN3	29941	-2.0736749	8.61e-07	4.21e-07	ENSG00000160447
CHRD	8646	1.3050752	8.66e-07	4.23e-07	ENSG00000090539
ARHGAP42	143872	1.4220666	8.76e-07	4.28e-07	ENSG00000165895
ZNF614	80110	-1.31923	8.88e-07	4.34e-07	ENSG00000142556
HDAC9	9734	-2.3076294	9.17e-07	4.48e-07	ENSG00000048052
KIAA1755	85449	2.1057882	9.45e-07	4.63e-07	ENSG00000149633
SYNGR1	9145	-1.4491564	9.46e-07	4.64e-07	ENSG00000100321
POLD4	57804	1.0380749	9.47e-07	4.64e-07	ENSG00000175482
APRT	353	1.2144329	9.54e-07	4.68e-07	ENSG00000198931
ZNF300	91975	-1.0017559	9.73e-07	4.77e-07	ENSG00000145908
ZNF417	147687	-1.001406	9.75e-07	4.78e-07	ENSG00000173480
MLPH	79083	1.9418835	9.8e-07	4.81e-07	ENSG00000115648
C4A	720	-1.2996062	1e-06	4.92e-07	ENSG00000244731
PRR5L	79899	1.3021392	1.02e-06	5.02e-07	ENSG00000135362
BCKDHA	593	-1.0851886	1.02e-06	5.03e-07	ENSG00000248098
KRT34	3885	2.6077685	1.04e-06	5.09e-07	ENSG00000131737
SLC13A3	64849	-2.2318075	1.04e-06	5.1e-07	ENSG00000158296
FGGY	55277	1.0899403	1.08e-06	5.31e-07	ENSG00000172456
PALM2AKAP2	445815	-1.0768299	1.1e-06	5.4e-07	ENSG00000157654
ITGA11	22801	-1.1877179	1.11e-06	5.48e-07	ENSG00000137809
FAM43A	131583	-1.5699359	1.12e-06	5.5e-07	ENSG00000185112
NAP1L3	4675	-1.4249604	1.12e-06	5.51e-07	ENSG00000186310
H2BC10	8346	1.7425526	1.12e-06	5.52e-07	ENSG00000278588
ISCA1	81689	-1.0668114	1.12e-06	5.54e-07	ENSG00000135070
CYRIB	51571	-1.0029517	1.13e-06	5.55e-07	ENSG00000153310
SUV39H1	6839	1.1856056	1.15e-06	5.69e-07	ENSG00000101945
BTN3A2	11118	1.2294666	1.17e-06	5.77e-07	ENSG00000186470
PAWR	5074	1.3622256	1.18e-06	5.81e-07	ENSG00000177425
ZBED3	84327	1.6430896	1.19e-06	5.87e-07	ENSG00000132846
CKAP2	26586	-1.4854811	1.2e-06	5.96e-07	ENSG00000136108
RHBDL2	54933	1.3316857	1.21e-06	5.97e-07	ENSG00000158315
PODNL1	79883	1.0549241	1.21e-06	5.98e-07	ENSG00000132000
DNASE1L1	1774	1.1965243	1.21e-06	6.01e-07	ENSG00000013563
CASP10	843	1.0757621	1.22e-06	6.05e-07	ENSG00000003400
PRDM1	639	1.5784949	1.25e-06	6.17e-07	ENSG00000057657
LIG1	3978	-1.2326682	1.25e-06	6.19e-07	ENSG00000105486
KNTC1	9735	1.0037643	1.25e-06	6.2e-07	ENSG00000184445
SNRNP25	79622	-1.0272177	1.25e-06	6.21e-07	ENSG00000161981
DYNLT1	6993	1.0379923	1.25e-06	6.21e-07	ENSG00000146425
DHX58	79132	1.0562637	1.26e-06	6.24e-07	ENSG00000108771
TRAF2	7186	1.1704374	1.28e-06	6.36e-07	ENSG00000127191
ZNF623	9831	-1.1998631	1.29e-06	6.39e-07	ENSG00000183309
